GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IV1201,grupp14.IV1201.entities,Application,97,23,12,0,28,7,22,1,16,1
IV1201,grupp14.IV1201.entities,Application_,3,0,0,0,1,0,1,0,1,0
IV1201,grupp14.IV1201.entities,Expertise,73,0,12,0,18,0,14,0,8,0
IV1201,grupp14.IV1201.entities,Person,109,35,12,0,33,9,25,1,19,1
IV1201,grupp14.IV1201.entities,Expertise_,3,0,0,0,1,0,1,0,1,0
IV1201,grupp14.IV1201.entities,Person_,3,0,0,0,1,0,1,0,1,0
IV1201,grupp14.IV1201.view,RecruitFilter,56,0,6,0,11,0,7,0,4,0
IV1201,grupp14.IV1201.view,LoginBean,147,0,6,0,49,0,16,0,13,0
IV1201,grupp14.IV1201.view,ApplyBean,179,0,8,0,51,0,20,0,16,0
IV1201,grupp14.IV1201.view,ApplicantFilter,32,0,2,0,9,0,5,0,4,0
IV1201,grupp14.IV1201.view,ApplicationBean,59,0,4,0,17,0,9,0,7,0
IV1201,grupp14.IV1201.view,RegisterBean,120,0,2,0,41,0,20,0,19,0
IV1201,grupp14.IV1201.controller,ControllerEJB,84,0,0,0,22,0,15,0,15,0
IV1201,grupp14.IV1201.util,LocaleManager,32,0,0,0,8,0,5,0,5,0
IV1201,grupp14.IV1201.util,PDFManager,218,0,0,0,50,0,2,0,2,0
IV1201,grupp14.IV1201.util,ValidEmailImplementation,1,18,0,0,1,8,1,2,1,2
IV1201,grupp14.IV1201.util,LogManager,8,4,0,0,4,1,2,1,2,1
IV1201,grupp14.IV1201.util,GenericLoggerInterceptor,113,0,2,0,26,0,8,0,7,0
IV1201,grupp14.IV1201.model,ApplicationEJB,16,81,0,0,3,23,1,8,1,8
IV1201,grupp14.IV1201.model,HttpSessionBean,2,28,0,0,1,5,1,4,1,4
IV1201,grupp14.IV1201.model,LoginEJB,0,73,0,0,0,20,0,5,0,5
IV1201,grupp14.IV1201.model,RegisterEJB,4,30,0,0,2,8,1,4,1,4
IV1201,grupp14.IV1201.model,SHA512,0,44,0,2,0,9,0,3,0,2
IV1201,grupp14.IV1201.DTO,ApplicationDTO,33,0,0,0,12,0,6,0,6,0
IV1201,grupp14.IV1201.DTO,PersonDTO,45,0,0,0,16,0,8,0,8,0
